Airfoil,CL,CD,CM,CL/CD
HORSTMANN AND QUAST HQ-17/14.38 AIRFOIL (MEASURED),[1.16793999],[0.00601603],[-0.14334919],[194.13795215]
EPPLER 399 AIRFOIL,[1.27681797],[0.00658248],[-0.16929104],[193.97218486]
AH 93-W-174,[1.06165126],[0.00547888],[-0.1029761],[193.77171747]
WORTMANN FX 05-H-126 AIRFOIL,[0.80518982],[0.0041681],[-0.02131708],[193.17929526]
GOE 630 AIRFOIL,[1.34544862],[0.0069661],[-0.15050927],[193.14240619]
FX S 02-196 AIRFOIL,[1.14096183],[0.00590855],[-0.12513376],[193.10347498]
AH 80-140,[0.93410616],[0.00484406],[-0.05288267],[192.83530477]
GOE 426 AIRFOIL,[1.07417822],[0.0055757],[-0.10398142],[192.65365187]
GOE 402 AIRFOIL,[1.09950036],[0.0057214],[-0.09578652],[192.17318515]
MH 113  14.62%,[1.44865747],[0.00757452],[-0.19558389],[191.25395715]
GOE 360 AIRFOIL,[1.13372624],[0.00593455],[-0.10195322],[191.03820881]
GOE 482 AIRFOIL,[1.58160595],[0.0082916],[-0.20649074],[190.74809089]
GOE 549 AIRFOIL,[1.07862425],[0.00565903],[-0.10084017],[190.60247389]
GOE 301 (FRIEDRICHSHAFEN G 13) AIRFOIL,[1.29564334],[0.00679861],[-0.14270496],[190.57468919]
GOE 758 AIRFOIL,[1.07891524],[0.00566289],[-0.10090319],[190.52378315]
GOE 366 AIRFOIL,[1.36028955],[0.00715792],[-0.15596596],[190.03971966]
FX 73-CL1-152,[1.24372581],[0.00654724],[-0.1226608],[189.96197427]
FX 84-W-140,[1.03736121],[0.00546496],[-0.10251406],[189.82037547]
FX 84-W-150,[1.04944045],[0.00554272],[-0.10314179],[189.336834]
GOE 414 AIRFOIL,[1.14561319],[0.00605327],[-0.12531023],[189.25520861]
FX 84-W-175,[1.07794704],[0.00571056],[-0.11285703],[188.76381545]
EPPLER 593 AIRFOIL,[0.89496802],[0.00475106],[-0.03608923],[188.37247763]
GOE 428 AIRFOIL,[1.09474858],[0.00581395],[-0.10664305],[188.29695108]
FX 73-CL3-152,[1.51360515],[0.00805465],[-0.19512445],[187.916908]
GOE 81 AIRFOIL,[1.22139763],[0.00650138],[-0.12878196],[187.86743948]
IST-MT1-24,[1.42562292],[0.00761047],[-0.21206974],[187.32378846]
EPPLER 655 AIRFOIL,[1.11495981],[0.00595438],[-0.12236085],[187.25022]
GOE 480 AIRFOIL,[1.14493681],[0.00611609],[-0.11724798],[187.20085119]
GOE 567 AIRFOIL,[1.21718115],[0.00650449],[-0.14870835],[187.12937867]
GOE 405 AIRFOIL,[1.22599565],[0.00655342],[-0.13891274],[187.0773537]
NACA M20 AIRFOIL,[0.92665083],[0.00495331],[-0.05092784],[187.07702393]
EPPLER 266 AIRFOIL,[0.94671887],[0.0050606],[-0.07920689],[187.07639577]
GOE 361 AIRFOIL,[1.11665161],[0.00597142],[-0.10844394],[186.9993268]
