Airfoil,CL,CD,CM,CL/CD
GOE 278 (DAIMLER IX) AIRFOIL,[1.01972312],[0.00614223],[-0.08855008],[166.01832853]
EPPLER 395 AIRFOIL,[1.27056138],[0.00766005],[-0.17226594],[165.86844405]
AH 93-W-215,[1.00724864],[0.0060786],[-0.09161687],[165.70394959]
FX 63-145 AIRFOIL,[1.25714077],[0.00758702],[-0.14534086],[165.69634926]
GOE 431 AIRFOIL,[1.37342855],[0.00828967],[-0.18930326],[165.67943193]
GOE 407 AIRFOIL,[1.09804749],[0.00662847],[-0.09982577],[165.65623199]
GOE 300 (FRIEDRICHSHAFEN G20) AIRFOIL,[1.19620064],[0.0072212],[-0.11349736],[165.6513409]
N-11,[1.18448495],[0.00715845],[-0.09961129],[165.46671091]
GOE 449 AIRFOIL,[1.04163436],[0.00629974],[-0.09630078],[165.34561049]
GOE 496 AIRFOIL,[1.18542168],[0.00719197],[-0.14578842],[164.82572974]
AH 80-136,[0.6826685],[0.0041437],[0.0022037],[164.74854614]
GOE 190 (MVA MK.18) AIRFOIL,[1.19521296],[0.00725479],[-0.14120667],[164.74803704]
GOE 523 AIRFOIL,[1.78810102],[0.01086256],[-0.27148155],[164.61140429]
GOE 525 AIRFOIL,[1.78810102],[0.01086256],[-0.27148155],[164.61140429]
SP4621HP,[1.35466744],[0.00823366],[-0.19237953],[164.52790081]
GOE 319 (HANSA-BRANDENBURG II) AIRFOIL,[1.10496946],[0.006718],[-0.08711087],[164.4788693]
GOE 682 AIRFOIL,[1.03505013],[0.00629317],[-0.09775891],[164.47186849]
GOE 610-B MOD. AIRFOIL,[1.12356847],[0.006834],[-0.12041594],[164.4086195]
UNIVERSITY OF ILLINOIS UI-1720 AIRFOIL,[1.11652021],[0.00679505],[-0.09067876],[164.31379735]
GOE 322 (HANSA-BRANDENBURG IV.1) AIRFOIL,[1.14343048],[0.00696258],[-0.09634845],[164.22521024]
NACA M24 AIRFOIL,[0.87192744],[0.00530991],[-0.02012139],[164.20746971]
GOE 604 AIRFOIL,[1.05597827],[0.00643198],[-0.07276319],[164.17629602]
NACA 5-H-20 AIRFOIL,[0.79643069],[0.00485238],[-0.00982679],[164.1319587]
EPPLER 793 AIRFOIL,[1.13968562],[0.00694964],[-0.12415991],[163.99208781]
EPPLER 554 AIRFOIL,[1.03496486],[0.00631415],[-0.10475705],[163.91203522]
GOE 244 (MVA PR.4) AIRFOIL,[1.80495555],[0.01101645],[-0.25597202],[163.84184414]
GOE 122 (MVA H.2) AIRFOIL,[0.93406963],[0.00570187],[-0.06533029],[163.81824727]
GOE 180 (MVA H.26) AIRFOIL,[1.04533893],[0.00638754],[-0.09834513],[163.65287469]
GOE 746 AIRFOIL,[0.78333192],[0.00478814],[-0.00127511],[163.59841736]
WORTMANN FX M2 AIRFOIL,[1.14567626],[0.00700501],[-0.10147169],[163.55090703]
GOE 121 (MVA H.1) AIRFOIL,[1.05704414],[0.00646377],[-0.10605689],[163.53361166]
EPPLER 559 AIRFOIL,[1.17138643],[0.00716311],[-0.14015141],[163.53044271]
FX 61-168 AIRFOIL,[1.17847786],[0.00720744],[-0.13969671],[163.50859116]
GOE 367 AIRFOIL,[1.02822589],[0.00628878],[-0.09247196],[163.50174492]
FX 78-K-161,[0.79977101],[0.00489261],[-0.03959457],[163.46508754]
WORTMANN FX 05-188 AIRFOIL,[1.06736],[0.00653255],[-0.12694187],[163.39100067]
I.S.A. 961,[1.13611876],[0.00695501],[-0.09451162],[163.35263864]
NASA NLF(1)-0215F,[1.213212],[0.00742724],[-0.15363481],[163.34637851]
GOE 318 (HANSA-BRANDENBURG VI.5) AIRFOIL,[0.90103439],[0.00551698],[-0.04745902],[163.32028029]
GOE 287 AIRFOIL,[1.00102917],[0.00613349],[-0.07694585],[163.20709898]
GOE 797 AIRFOIL,[1.09320234],[0.00670184],[-0.11903283],[163.11982347]
GOE 436 AIRFOIL,[0.9771635],[0.00599186],[-0.07890439],[163.08195451]
EPPLER 678 AIRFOIL,[1.2729195],[0.00780639],[-0.18179253],[163.06115634]
GOE 222 (MVA H.33) AIRFOIL,[1.49029208],[0.0091515],[-0.2137236],[162.8466859]
GOE 477 AIRFOIL,[1.08802843],[0.0066822],[-0.1096233],[162.82493198]
EPPLER 551 AIRFOIL,[1.00315213],[0.006161],[-0.10391542],[162.82307082]
GOE 535 AIRFOIL,[1.26189719],[0.00775159],[-0.13380083],[162.79196289]
S4310,[0.99300235],[0.00609995],[-0.08233292],[162.78852153]
USA 5 AIRFOIL,[1.05585739],[0.00648732],[-0.09435227],[162.75706142]
FX 61-184 AIRFOIL,[1.1630219],[0.00714786],[-0.14070404],[162.70900299]
GOE 286 AIRFOIL,[0.95523184],[0.00587123],[-0.06758221],[162.69716214]
SIKORSKY GS-1 AIRFOIL,[1.04920984],[0.00645461],[-0.10775023],[162.55191999]
WORTMANN FX 05-191 AIRFOIL,[1.03679924],[0.0063807],[-0.1218803],[162.48979399]
GOE 282 (DAIMLER XIII) AIRFOIL,[1.13523461],[0.00698952],[-0.11776558],[162.41946035]
NACA M26 AIRFOIL,[1.02426221],[0.00630735],[-0.05117614],[162.39185606]
GOE 279 (DAIMLER X) AIRFOIL,[1.10573581],[0.00681066],[-0.10602847],[162.35379707]
GOE 243 (MVA PR.3) AIRFOIL,[1.70485601],[0.01050158],[-0.24372583],[162.34274537]
GOE 274 (DAIMLER V) AIRFOIL,[1.17148885],[0.00721732],[-0.12354509],[162.31622758]
S1223 RTL,[1.79010159],[0.01102937],[-0.27009279],[162.30312277]
GOE 311 (MVA H.43) AIRFOIL,[1.07863431],[0.00665787],[-0.09281335],[162.00881378]
GOE 144 (MVA H.21) AIRFOIL,[1.04330607],[0.00644049],[-0.09935076],[161.99176005]
NACA 6-H-15 AIRFOIL,[0.73148234],[0.00451852],[0.00304342],[161.88531644]
GOE 133 (MVA H.11) AIRFOIL,[1.01264184],[0.00625619],[-0.08605012],[161.86229274]
GOE 269 AIRFOIL,[1.06950501],[0.00661483],[-0.09881392],[161.68302049]
S1210 12%,[1.68783358],[0.01044681],[-0.26005357],[161.56456234]
AUGUST 160,[0.9857297],[0.00610349],[-0.0398711],[161.50265165]
USA 40 AIRFOIL,[1.13885972],[0.0070529],[-0.1194378],[161.47405162]
GOE 497 AIRFOIL,[1.1978637],[0.00741952],[-0.14527128],[161.44752396]
GOE 365 AIRFOIL,[1.11796089],[0.0069296],[-0.10119356],[161.33114801]
GOE 593 AIRFOIL,[1.02514555],[0.00635482],[-0.09212295],[161.31778356]
EPPLER 1210 AIRFOIL,[1.11753401],[0.00693057],[-0.09058526],[161.24705629]
Fage & Collins 3,[1.09661969],[0.00680631],[-0.09860533],[161.11804236]
EPPLER 379 AIRFOIL,[1.09319795],[0.00678544],[-0.07911417],[161.10948503]
AH 79-K-132/20,[0.94985599],[0.00589612],[-0.0814903],[161.0985203]
USA 27 AIRFOIL,[1.01371641],[0.00629806],[-0.08351413],[160.95697427]
Davis AIRFOIL,[0.99213661],[0.00616706],[-0.09437543],[160.87678018]
GOE 498 AIRFOIL,[1.26988602],[0.00789375],[-0.15006077],[160.87224595]
GOE 613 AIRFOIL,[1.02960001],[0.00640217],[-0.09301119],[160.82042395]
EPPLER 550 AIRFOIL,[0.92760346],[0.00576826],[-0.07464052],[160.81171657]
GOE 777 AIRFOIL,[1.1487195],[0.00714416],[-0.0795635],[160.79140176]
SD7032-099-88,[1.00965995],[0.00628402],[-0.09380261],[160.67098912]
NACA M22 AIRFOIL,[0.84445843],[0.0052637],[-0.02042292],[160.43063437]
S4233-136-84,[0.93647297],[0.00584097],[-0.07886321],[160.32820875]
GOE 256 (JUNKERS E) AIRFOIL,[1.01469762],[0.00633186],[-0.08913317],[160.25267158]
EPPLER 334 AIRFOIL,[0.87861081],[0.00548463],[-0.03775143],[160.19516625]
GOE 374 AIRFOIL,[0.98011901],[0.00611902],[-0.07149365],[160.17594061]
GOE 479 AIRFOIL,[1.00229544],[0.00626019],[-0.08683552],[160.10626119]
Dayton-Wright T-1,[1.22614664],[0.00766005],[-0.09245244],[160.07039659]
I.S.A. 960,[1.14108059],[0.00712913],[-0.09567055],[160.05884572]
BE50 (smoothed),[1.04340159],[0.00651913],[-0.10565247],[160.05216625]
NACA M14 AIRFOIL,[0.88119132],[0.00550606],[-0.06015033],[160.0403033]
GOE 275 (DAIMLER VI) AIRFOIL,[1.07178511],[0.0066975],[-0.09597521],[160.02755805]
K3311  (original),[0.94163852],[0.00588851],[-0.07997045],[159.91120506]
GOE 288 AIRFOIL,[1.26772553],[0.00793442],[-0.14573248],[159.77547621]
GOE 572 AIRFOIL,[1.34773623],[0.00843797],[-0.12258233],[159.72288701]
EPPLER 553 AIRFOIL,[1.03774255],[0.00649739],[-0.11320696],[159.71672908]
SD7062 (14%),[1.03769958],[0.00649743],[-0.08741231],[159.70923291]
S2091-101-83,[0.97403857],[0.00610014],[-0.0793252],[159.67477984]
NACA 4415,[0.97345222],[0.00609753],[-0.08470987],[159.64709707]
SD7034,[0.97307212],[0.00609578],[-0.07901184],[159.63056584]
S4083 (8%),[0.96845307],[0.00606832],[-0.08421612],[159.5915111]
GOE 438 AIRFOIL,[0.97140327],[0.00608686],[-0.07719655],[159.59014648]
GOE 358 AIRFOIL,[1.22046298],[0.00764795],[-0.15314205],[159.58039601]
GOE 165 (MVA MK.11) AIRFOIL,[1.28905238],[0.00807843],[-0.16259716],[159.56726399]
S7055 (10.5%) Flat-Bottomed,[0.92709399],[0.00581087],[-0.07157831],[159.54485263]
GOE 395 AIRFOIL,[1.2476532],[0.00782942],[-0.14749448],[159.35444153]
CLARK Z AIRFOIL,[1.00634825],[0.00631859],[-0.08916579],[159.26773742]
FX 61-163 AIRFOIL,[1.0905492],[0.00684892],[-0.11913757],[159.22932699]
NACA M25 AIRFOIL,[1.00080942],[0.00628627],[-0.04722401],[159.20573034]
K3311 (smoothed),[0.93925577],[0.00590099],[-0.08006698],[159.16929866]
GOE 478 AIRFOIL,[1.01547268],[0.00638288],[-0.0913566],[159.09322665]
GOE 8K AIRFOIL,[1.19344739],[0.0075028],[-0.16085664],[159.06703881]
GOE 363 AIRFOIL,[1.16718073],[0.00733879],[-0.11240514],[159.0427117]
N-24,[1.34010464],[0.0084269],[-0.09235116],[159.02695906]
GOE 415 AIRFOIL,[0.91967491],[0.00578423],[-0.06166154],[158.99697865]
USA-35B AIRFOIL,[1.18533562],[0.00745518],[-0.08953701],[158.99485272]
N-22,[1.20799507],[0.00760366],[-0.08956425],[158.87029131]
AH 82-150 A,[1.01404313],[0.00638587],[-0.10828695],[158.79483324]
NACA M15 AIRFOIL,[0.86644552],[0.00546034],[-0.04940624],[158.67986192]
EPPLER 562 AIRFOIL,[1.15409591],[0.00727362],[-0.14186366],[158.6686846]
USA 26 AIRFOIL,[0.91911543],[0.00579556],[-0.06438729],[158.58944801]
GOE 390 AIRFOIL,[1.2765199],[0.00805193],[-0.13338453],[158.53587316]
GOE 63 AIRFOIL,[1.26630782],[0.00798813],[-0.13024793],[158.5236683]
AS6096 | Ananda-Selig | AIAA Paper 2018-0310,[1.39634172],[0.0088118],[-0.18654896],[158.4626253]
GOE 321 (HANSA-BRANDENBURG III.1) AIRFOIL,[1.03928776],[0.00656045],[-0.07531676],[158.41715659]
GOE 101 AIRFOIL,[0.93242351],[0.00589322],[-0.06960848],[158.21977644]
AS6099 | Ananda-Selig | AIAA Paper 2018-0310,[1.60462692],[0.01015507],[-0.24028195],[158.01235498]
GOE 373 AIRFOIL,[1.03841929],[0.00657276],[-0.08984641],[157.988393]
I.S.A. 571,[1.03396057],[0.00655181],[-0.08484833],[157.81297851]
NACA M17 AIRFOIL,[0.79482786],[0.00503893],[-0.02686057],[157.73727179]
FX 61-147 AIRFOIL,[1.18025621],[0.00748875],[-0.14042804],[157.60400287]
GOE 199 (L.F.G. 5406) AIRFOIL,[1.05885461],[0.00672009],[-0.08968927],[157.56560564]
NACA 4412,[1.03993514],[0.0066063],[-0.10391284],[157.41561218]
Rhode St. Genese 36,[1.31713926],[0.00837032],[-0.08933144],[157.35826313]
GOE 15 AIRFOIL,[1.22227844],[0.00777026],[-0.10970916],[157.30215309]
EPPLER 393 AIRFOIL,[1.10550388],[0.00702873],[-0.12606875],[157.28365368]
N-10,[1.15592743],[0.00735294],[-0.08553037],[157.20607363]
St. CYR 24 (Bartel 35-IIIC),[1.30631307],[0.00831883],[-0.1164142],[157.03077965]
GOE 371 AIRFOIL,[1.02370265],[0.00652015],[-0.09371755],[157.00591781]
GOE 406 AIRFOIL,[1.14214757],[0.00728191],[-0.10327419],[156.84716038]
GOE 285 AIRFOIL,[0.94960667],[0.00605453],[-0.07292562],[156.84241001]
PSU 94-097 (AIAA 2001-2478),[1.06540669],[0.00679446],[-0.11358619],[156.80512832]
GOE 142 (MVA H.19) AIRFOIL,[0.94108821],[0.00601709],[-0.0730298],[156.4024229]
EPPLER 638 AIRFOIL,[0.83959253],[0.00537264],[-0.01857235],[156.27176981]
EPPLER 433 AIRFOIL,[1.11757625],[0.00715197],[-0.13189853],[156.2612775]
S1091,[1.1699234],[0.00748888],[-0.12940032],[156.22133104]
GOE 647 AIRFOIL,[1.10782287],[0.00709166],[-0.0924129],[156.21483612]
EPPLER 642 AIRFOIL,[0.87457025],[0.00559979],[-0.05955245],[156.17921]
GOE 342 AIRFOIL,[1.23762403],[0.00792696],[-0.14682692],[156.12845937]
GOE 625 AIRFOIL,[1.20160533],[0.00769933],[-0.12369562],[156.06620172]
EPPLER 857 AIRFOIL,[1.12535423],[0.00721271],[-0.11971819],[156.02379052]
GOE 210 (DAIMLER) AIRFOIL,[1.02384199],[0.00656296],[-0.09261604],[156.00313257]
EPPLER 549 AIRFOIL,[0.93148917],[0.00597587],[-0.08309238],[155.87516128]
GOE 432 AIRFOIL,[1.01959955],[0.00654246],[-0.08877076],[155.84354954]
SG6043,[1.28019236],[0.00821559],[-0.17016079],[155.82471466]
CLARK-Y 11.7% smoothed,[0.96304116],[0.00618039],[-0.0826099],[155.82214323]
GOE 655 AIRFOIL,[1.04632115],[0.00671809],[-0.08788454],[155.74687421]
STRAND AIRFOIL,[0.91184048],[0.00585566],[-0.04524645],[155.71963264]
GOE 602 MOD. AIRFOIL,[1.00524352],[0.00646403],[-0.10190523],[155.5135564]
MH 84  13.69%,[1.04989487],[0.00675123],[-0.0697096],[155.51168713]
GOE 626 AIRFOIL,[1.19578483],[0.00769184],[-0.14195514],[155.46152881]
GOE 530 AIRFOIL,[0.93447278],[0.00601402],[-0.04890054],[155.38231113]
RAF 33 AIRFOIL,[0.76182568],[0.00490461],[-0.00485101],[155.32849961]
GOE 195 AIRFOIL,[1.15262726],[0.00742203],[-0.13505821],[155.29809019]
GOE 386 AIRFOIL,[1.15344042],[0.0074273],[-0.10747197],[155.29746482]
EPPLER 1233 AIRFOIL,[1.11733975],[0.00719828],[-0.10943548],[155.22312703]
MUE 139,[1.00639],[0.0064926],[-0.06128373],[155.00565725]
EPPLER E662 AIRFOIL,[1.11337678],[0.00718636],[-0.13592379],[154.92910792]
USNPS4 (smoothed),[1.18875569],[0.00767344],[-0.12949474],[154.91814483]
DEFIANT CANARD BL110 AIRFOIL,[0.8812647],[0.00569515],[-0.05396848],[154.73943016]
GOE 276 (DAIMLER VII) AIRFOIL,[1.05396016],[0.00681297],[-0.09965378],[154.69905861]
EPPLER 339 AIRFOIL,[0.88389759],[0.00571522],[-0.03759394],[154.65670803]
GOE 377 AIRFOIL,[0.95490977],[0.00617764],[-0.07789652],[154.57512505]
GOE 393 AIRFOIL,[0.87485031],[0.00566067],[-0.04838078],[154.54902143]
NASA NLF(1)-0416,[1.05423334],[0.00682469],[-0.10936049],[154.47340891]
NACA 63(4)-421,[0.96648544],[0.00626326],[-0.08918424],[154.31025383]
AS6098 | Ananda-Selig | AIAA Paper 2018-0310,[1.60479728],[0.0104002],[-0.23758487],[154.30446957]
GOE 711 AIRFOIL,[1.26497931],[0.0081985],[-0.14558303],[154.29399342]
GOE 134 (MVA H.12) AIRFOIL,[0.96397182],[0.00625319],[-0.07971115],[154.15677922]
GOE 457 AIRFOIL,[1.01411343],[0.00657957],[-0.09064599],[154.13066351]
GOE 375 AIRFOIL,[0.98104653],[0.00636794],[-0.06564532],[154.06030621]
GOE 741 AIRFOIL,[0.7865387],[0.00510634],[0.00029585],[154.03182982]
GOE 442 AIRFOIL,[1.0169805],[0.00660269],[-0.08805733],[154.02512831]
MH 116  9.84%,[1.05579546],[0.00685719],[-0.11488263],[153.96913933]
GOE 602 AIRFOIL,[0.97461799],[0.00633034],[-0.09289283],[153.95988987]
DAE-51 AIRFOIL,[1.02716914],[0.00667254],[-0.10338034],[153.93973856]
BOEING 106 AIRFOIL,[0.89391502],[0.00581353],[-0.06229006],[153.76453773]
LNV109A,[0.99631307],[0.00648178],[-0.05052968],[153.70984652]
GOE 290 (MVA 290) AIRFOIL,[1.01640039],[0.00661284],[-0.08370796],[153.70102757]
CLARK Y AIRFOIL,[0.94968482],[0.00618482],[-0.08281523],[153.55100444]
GOE 143 (MVA H.20) AIRFOIL,[0.95307949],[0.00620711],[-0.07391705],[153.54646787]
NACA M18 AIRFOIL,[0.77192741],[0.00503198],[-0.02216954],[153.40443349]
GOE 320 (HANSA-BRANDENBURG II.1) AIRFOIL,[1.19365774],[0.0077841],[-0.10544532],[153.3457034]
EPPLER 715 AIRFOIL,[0.82733164],[0.00539979],[-0.0456316],[153.21563724]
WORTMANN FX 77-W-153 AIRFOIL,[0.84915857],[0.00554498],[-0.02148343],[153.14013714]
MRC-16,[0.88861449],[0.00580948],[-0.06573261],[152.95927128]
GOE 309 (MVA H.41) AIRFOIL,[0.91028998],[0.00595397],[-0.05437755],[152.88799776]
GOE 490 AIRFOIL,[0.95365468],[0.00624296],[-0.07754058],[152.75688373]
GOE 509 AIRFOIL,[0.97448381],[0.00638066],[-0.06534776],[152.72466207]
AH 93-W-257,[1.04347645],[0.00683305],[-0.1262171],[152.710221]
GOE 383 AIRFOIL,[1.09836868],[0.00719276],[-0.09334859],[152.70477179]
RAF 6 AIRFOIL,[1.12192015],[0.00734825],[-0.1116417],[152.67853163]
NACA 4418,[1.05482244],[0.00691258],[-0.10064782],[152.59455105]
Curtis C-72,[1.22012422],[0.00800023],[-0.09529661],[152.51117442]
CAL2263m,[0.95287829],[0.00624841],[-0.08262465],[152.49929131]
EPPLER 344 AIRFOIL,[0.89452388],[0.00586734],[-0.03683131],[152.45821833]
AS6097 | Ananda-Selig | AIAA Paper 2018-0310,[1.5984635],[0.01048789],[-0.23411279],[152.41036617]
GOE 504 AIRFOIL,[1.02140637],[0.00670224],[-0.08830659],[152.39785725]
AS6095 | Ananda-Selig | AIAA Paper 2018-0310,[1.38698641],[0.00910364],[-0.18590645],[152.35511831]
E205  (10.48%),[0.84748059],[0.00556483],[-0.05131384],[152.29238713]
GOE 623 AIRFOIL,[0.97698692],[0.00642066],[-0.08353643],[152.16307613]
E195  (11.82%),[0.89770176],[0.00589994],[-0.07074856],[152.1542963]
SA7026,[0.98420865],[0.0064802],[-0.0954011],[151.87943624]
GOE 430 AIRFOIL,[1.22885859],[0.00809375],[-0.15972841],[151.8281015]
NACA 65(4)-421 a=0.5,[0.94569138],[0.00623133],[-0.07968116],[151.76397955]
S9037 (9%),[0.93992647],[0.00619512],[-0.07718415],[151.72034504]
NACA M27 AIRFOIL,[1.07279202],[0.00707448],[-0.05650018],[151.64247991]
GOE 408 AIRFOIL,[1.09818643],[0.00725225],[-0.10769056],[151.4269354]
GOE 420 AIRFOIL,[1.05633432],[0.00698715],[-0.10929218],[151.18247919]
E214  (11.1%),[1.14799623],[0.00759493],[-0.14209138],[151.15305803]
AH-7-47-6 AIRFOIL,[1.41328432],[0.00935287],[-0.20233355],[151.10696315]
GOE 585 AIRFOIL,[0.92276831],[0.00611157],[-0.07184535],[150.98700753]
NACA M9 AIRFOIL,[1.10453004],[0.00731661],[-0.07255547],[150.96195788]
GOE 14 AIRFOIL,[1.21921628],[0.00808231],[-0.10763233],[150.8499188]
USA 40 B AIRFOIL,[1.08930674],[0.00722338],[-0.09757504],[150.80287124]
EPPLER 548 AIRFOIL,[0.83397241],[0.00553028],[-0.04730048],[150.80104476]
NACA M18,[0.75147163],[0.00498414],[-0.02196958],[150.7725865]
GOE 79 (PFALZ 11) AIRFOIL,[1.17099178],[0.00777087],[-0.10834453],[150.68992326]
SA7038,[0.93907647],[0.00623562],[-0.08014022],[150.59863831]
BE50 (original),[1.11311841],[0.00739157],[-0.10476036],[150.5930217]
GOE 147 (MVA H.6) AIRFOIL,[0.9200788],[0.00611238],[-0.05883506],[150.52698764]
BOEING-VERTOL VR-7 AIRFOIL,[0.85268599],[0.00566623],[-0.04558504],[150.48568114]
Fage & Collins 2,[0.99934511],[0.00664241],[-0.07888208],[150.44925149]
E61  (5.64%),[1.45833862],[0.00969813],[-0.22278651],[150.37318239]
EPPLER 558 AIRFOIL,[1.07032955],[0.00712165],[-0.11433202],[150.29227906]
GOE 769 AIRFOIL,[1.01243696],[0.00673704],[-0.05954926],[150.27921516]
CLARK W AIRFOIL,[0.92785984],[0.00617815],[-0.07770015],[150.1839898]
CLARK YM-15 AIRFOIL,[0.95117746],[0.00633521],[-0.07779647],[150.14136661]
GOE 526 AIRFOIL,[0.932625],[0.00621314],[-0.06798371],[150.10528832]
EPPLER 557 AIRFOIL,[1.16304396],[0.00775025],[-0.14926909],[150.06544035]
FX 84-W-218,[0.93489139],[0.00624436],[-0.0774337],[149.71761202]
SA7025,[0.9608524],[0.00641852],[-0.08810091],[149.69987977]
GOE 798 AIRFOIL,[1.13246627],[0.00756754],[-0.12359948],[149.6478528]
EPPLER 668 AIRFOIL,[1.0924841],[0.00731192],[-0.1285962],[149.41129518]
GOE 257 AIRFOIL,[0.96943426],[0.00648898],[-0.07804198],[149.39697019]
HOBIE,[1.00906444],[0.0067565],[-0.10096579],[149.34728037]
MH 82  13.31%,[0.84096802],[0.00563139],[-0.01631761],[149.33576502]
GOE 281 (DAIMLER XII) AIRFOIL,[1.03094129],[0.00690909],[-0.09282438],[149.2151233]
S4061-096-84,[0.95934219],[0.00642936],[-0.08215861],[149.21279805]
cr001sm,[1.05013879],[0.00703853],[-0.11245993],[149.19852824]
NASA NLF(1)-1015,[1.23921421],[0.00830695],[-0.17775828],[149.17802322]
AS6094 | Ananda-Selig | AIAA Paper 2018-0310,[1.37878821],[0.00924395],[-0.18532072],[149.15574503]
EPPLER 329 AIRFOIL,[0.85111129],[0.00571294],[-0.03568349],[148.9794868]
CLARK X AIRFOIL,[0.92999457],[0.00624566],[-0.08250365],[148.90261115]
GOE 369 AIRFOIL,[1.0496199],[0.00704997],[-0.08042932],[148.8828304]
S4022,[1.22647827],[0.00824311],[-0.16514819],[148.78822606]
WASP (smoothed),[0.90328982],[0.00607136],[-0.07038025],[148.77885374]
NACA 64(4)-421,[0.96913295],[0.00651846],[-0.09211318],[148.67504334]
NACA M8 AIRFOIL,[1.10914108],[0.00746341],[-0.06309789],[148.61042877]
GOE 550 AIRFOIL,[1.04787643],[0.00705216],[-0.11249071],[148.58952161]
EPPLER 333 AIRFOIL,[0.78320021],[0.00527455],[-0.01523157],[148.48677665]
GOE 802 A AIRFOIL,[1.26767133],[0.00854402],[-0.1353152],[148.36938556]
GOE 693 AIRFOIL,[0.95289746],[0.00642418],[-0.08803672],[148.32987051]
HQ 3.5/9 AIRFOIL,[1.0201439],[0.00687805],[-0.10335762],[148.31874229]
GOE 796 AIRFOIL,[0.95050659],[0.00640968],[-0.0865958],[148.29226445]
FX 61-140 AIRFOIL,[1.10293058],[0.00743971],[-0.12618422],[148.24917986]
E216  (10.4%),[1.36573748],[0.00921762],[-0.20147814],[148.1659333]
FX 63-120 AIRFOIL,[1.37647803],[0.00929944],[-0.18755101],[148.0172341]
S2027,[0.88203244],[0.0059744],[-0.06143988],[147.63540753]
MH 70  11.08%,[0.87127371],[0.00590228],[-0.0522928],[147.61657832]
USA 45 M AIRFOIL,[0.83878691],[0.00568441],[-0.03801511],[147.5590591]
Prandtl-D Centerline NASA TP-2016-219072,[0.61843594],[0.00419163],[-0.01410507],[147.54063996]
GOE 685 AIRFOIL,[1.02204414],[0.00693329],[-0.10114579],[147.41109539]
GOE 517 AIRFOIL,[1.02022439],[0.00692222],[-0.08974645],[147.3839538]
GOE 628 AIRFOIL,[1.17695956],[0.00798855],[-0.11355395],[147.33075867]
E207  (12.04%),[0.80890345],[0.00549228],[-0.04757193],[147.28009627]
NACA 8-H-12 AIRFOIL,[0.68851662],[0.00467654],[0.00819981],[147.22763462]
S4158,[0.92659209],[0.00629484],[-0.07635533],[147.19874711]
GOE 547 AIRFOIL,[1.02124782],[0.00693882],[-0.11180037],[147.17890713]
E197  (13.49%),[0.8516139],[0.005791],[-0.0617051],[147.0582073]
MH 38  9.68%,[0.97837793],[0.00665363],[-0.09252405],[147.04421015]
GOE 399 AIRFOIL,[0.96460159],[0.0065632],[-0.08163882],[146.97112567]
HQ 3.5/10 AIRFOIL,[1.02163145],[0.00696814],[-0.10304419],[146.61464664]
I.S.A. 962,[1.14079578],[0.00778482],[-0.08936926],[146.54112255]
GOE 207 (AVIATIK V8) AIRFOIL,[1.17729591],[0.00803805],[-0.09869185],[146.46530165]
FX S 03-182 AIRFOIL,[1.06391635],[0.00726425],[-0.12534955],[146.45922734]
EPPLER 547 AIRFOIL,[0.83770335],[0.00572007],[-0.05545393],[146.44994426]
AH 79-K-135/20 B,[0.87811072],[0.00599607],[-0.06751779],[146.44772587]
S3024 9.84%,[0.92552003],[0.00632106],[-0.07468238],[146.41837008]
AH 82-150 F,[0.92942687],[0.00635162],[-0.08955066],[146.32919259]
DEFIANT CANARD BL20 AIRFOIL,[0.9599969],[0.0065618],[-0.06328833],[146.30077731]
WORTMANN FX 77-W-258 AIRFOIL,[1.12375435],[0.00768336],[-0.0838796],[146.25823083]
HAM-STD HS1-708 AIRFOIL,[1.19793894],[0.00819175],[-0.14179824],[146.23731492]
WB-140/35/FB 14%,[0.97163968],[0.00664959],[-0.09185698],[146.12018336]
GOE 770 AIRFOIL,[0.96054054],[0.00658405],[-0.05366973],[145.88890409]
DU 80-141,[1.12656273],[0.00772598],[-0.13129496],[145.81493624]
GOE 802 B AIRFOIL,[1.26820233],[0.00869891],[-0.13617182],[145.7886536]
E193  (10.22%),[0.93133534],[0.00639418],[-0.07753185],[145.65352285]
SA7036,[0.88731721],[0.00610067],[-0.06827003],[145.44574742]
E201  (11.88%),[0.90951548],[0.00625571],[-0.07746107],[145.38976432]
GOE 229 (MVA H.39) AIRFOIL,[1.35674855],[0.00934393],[-0.17669682],[145.2010717]
HAM-STD HS1-712 AIRFOIL,[1.2999292],[0.00895279],[-0.16871577],[145.19829448]
CLARK K AIRFOIL,[0.92339406],[0.00636173],[-0.07974047],[145.14821359]
GOE 723 AIRFOIL,[1.01778239],[0.00701473],[-0.10066917],[145.09224464]
S3010-103-84,[0.86023021],[0.00593102],[-0.05369979],[145.03926586]
SD7037-092-88,[0.91828264],[0.00634399],[-0.07527177],[144.74838194]
EPPLER 67 AIRFOIL,[1.0600529],[0.00732981],[-0.12470372],[144.62211798]
EPPLER 66 AIRFOIL,[1.11436803],[0.00770879],[-0.13831329],[144.55807027]
GOE 701 AIRFOIL,[0.99880185],[0.00691073],[-0.08883472],[144.52921622]
USA 45 AIRFOIL,[0.89632511],[0.0062129],[-0.04163254],[144.26840076]
S3021-095-84,[0.86079313],[0.00596757],[-0.05679461],[144.24517912]
GOE 646 AIRFOIL,[1.10603843],[0.00767282],[-0.12185893],[144.15012471]
USA 29 AIRFOIL,[0.94373739],[0.00654916],[-0.07799947],[144.1004528]
