Airfoil,Alpha,CL,CD,CM,CL/CD
a18,15,[1.93220807],[0.02977863],[-0.07118223],[64.88572652]
vr12,-5,[-0.44161786],[0.00725868],[-0.0008705],[-60.83994058]
vr12,0,[0.12554942],[0.00687224],[-0.00161765],[18.26906255]
vr12,5,[0.69659693],[0.00615036],[-0.00581316],[113.26121045]
vr12,10,[1.293696],[0.00963336],[-0.01904036],[134.29326533]
vr12,15,[1.664452],[0.01849629],[0.00590548],[89.98841607]
goe371,-5,[-0.05189511],[0.00694258],[-0.10223457],[-7.47490328]
goe371,0,[0.49020409],[0.00554252],[-0.09720137],[88.44428827]
goe371,5,[1.02370265],[0.00652015],[-0.09371755],[157.00591781]
goe371,10,[1.50380209],[0.01237068],[-0.08266503],[121.56183814]
goe371,15,[1.81596719],[0.02397441],[-0.05095365],[75.74607537]
us1000root,-5,[-0.54905257],[0.00681334],[-0.00161157],[-80.58494258]
us1000root,0,[0.00094566],[0.00632215],[-2.69882756e-06],[0.14957947]
us1000root,5,[0.54703147],[0.0067382],[0.00210741],[81.18365807]
us1000root,10,[1.01970389],[0.01201412],[0.01577978],[84.8754832]
us1000root,15,[1.40863965],[0.02526167],[0.02428001],[55.76194269]
be50,-5,[-0.00698634],[0.00585118],[-0.10515681],[-1.19400569]
be50,0,[0.56458858],[0.00578353],[-0.10655428],[97.62013515]
be50,5,[1.11311841],[0.00739157],[-0.10476036],[150.5930217]
be50,10,[1.61976419],[0.01421773],[-0.09906005],[113.92568488]
be50,15,[1.93040755],[0.02821431],[-0.06664454],[68.41945726]
goe367,-5,[-0.092554],[0.00692448],[-0.08874413],[-13.36620089]
goe367,0,[0.47689841],[0.00664433],[-0.09192445],[71.77527107]
goe367,5,[1.02822589],[0.00628878],[-0.09247196],[163.50174492]
goe367,10,[1.43821688],[0.01250261],[-0.07122782],[115.03333922]
goe367,15,[1.69869624],[0.03108762],[-0.04764737],[54.64221655]
e715,-5,[-0.3253993],[0.00740336],[-0.04017257],[-43.95293429]
e715,0,[0.24732264],[0.00484601],[-0.04181469],[51.03638348]
e715,5,[0.82733164],[0.00539979],[-0.0456316],[153.21563724]
e715,10,[1.32262408],[0.01243328],[-0.04157754],[106.37773419]
e715,15,[1.60638652],[0.03209508],[-0.02923058],[50.05086453]
goe389,-5,[-0.11738445],[0.00662166],[-0.09017031],[-17.7273437]
goe389,0,[0.45209412],[0.0059159],[-0.09133332],[76.42012226]
goe389,5,[1.00883715],[0.00579336],[-0.09161365],[174.13691793]
goe389,10,[1.49826499],[0.01297573],[-0.0830616],[115.46671641]
goe389,15,[1.80821314],[0.02604092],[-0.05417816],[69.4373782]
goe679,-5,[-0.05858751],[0.00692568],[-0.10295345],[-8.4594596]
goe679,0,[0.42091728],[0.00709872],[-0.08147659],[59.2948355]
goe679,5,[0.86575704],[0.0077348],[-0.05574232],[111.93017804]
goe679,10,[1.47029669],[0.01113136],[-0.07203883],[132.08598995]
goe679,15,[1.80136833],[0.02032937],[-0.04525483],[88.60915158]
s5020,-5,[-0.45635746],[0.0079699],[0.00317982],[-57.2601108]
s5020,0,[0.10776477],[0.00580748],[0.00463266],[18.55618827]
s5020,5,[0.70043886],[0.00528483],[-0.00328603],[132.53768149]
s5020,10,[1.22548031],[0.01033702],[-0.00141182],[118.55260042]
s5020,15,[1.64480643],[0.02178455],[0.00715219],[75.50334994]
e67,-5,[-0.00589702],[0.00573484],[-0.13258694],[-1.02828125]
e67,0,[0.54856408],[0.00458552],[-0.13263941],[119.62952614]
e67,5,[1.0600529],[0.00732981],[-0.12470372],[144.62211798]
e67,10,[1.49379639],[0.01335647],[-0.10351629],[111.84066581]
e67,15,[1.78213354],[0.02533499],[-0.06819894],[70.34277826]
dae21,-5,[0.09131946],[0.00659508],[-0.12906278],[13.84660471]
dae21,0,[0.68440386],[0.0052815],[-0.13391746],[129.58509203]
dae21,5,[1.24560857],[0.00583414],[-0.13712925],[213.50351322]
dae21,10,[1.72617448],[0.01363102],[-0.13256971],[126.63574084]
dae21,15,[1.94511166],[0.03724704],[-0.10932972],[52.22191762]
goe456,-5,[0.04592977],[0.02816415],[-0.12118311],[1.63078843]
goe456,0,[0.57684337],[0.00500262],[-0.12469512],[115.30828773]
goe456,5,[1.07245317],[0.00855667],[-0.11666892],[125.33535018]
goe456,10,[1.4736153],[0.0182998],[-0.09189992],[80.52631138]
goe456,15,[1.24523703],[0.11860888],[-0.06644612],[10.49868315]
fx77w270s,-5,[-0.27759739],[0.01000663],[-0.02081307],[-27.74133288]
fx77w270s,0,[0.33543376],[0.00651875],[-0.03602542],[51.45678543]
fx77w270s,5,[0.97273794],[0.00759874],[-0.05591689],[128.01302188]
fx77w270s,10,[1.56841995],[0.00941973],[-0.07204083],[166.50376916]
fx77w270s,15,[2.07182611],[0.01375108],[-0.0695458],[150.66643898]
fx63110,-5,[0.11859778],[0.00577064],[-0.15697777],[20.55192678]
fx63110,0,[0.70740008],[0.00487102],[-0.16170102],[145.22618557]
fx63110,5,[1.24937033],[0.00904297],[-0.15935873],[138.15931269]
fx63110,10,[1.73753423],[0.01576993],[-0.14805056],[110.18024096]
fx63110,15,[1.96377313],[0.03444987],[-0.10778705],[57.00378477]
s2091,-5,[-0.15600239],[0.00704127],[-0.0796347],[-22.1554201]
s2091,0,[0.41949622],[0.00543201],[-0.08056893],[77.22672074]
s2091,5,[0.97403857],[0.00610014],[-0.0793252],[159.67477984]
s2091,10,[1.47473059],[0.01338537],[-0.07416786],[110.1748302]
s2091,15,[1.6907659],[0.0361094],[-0.04521904],[46.82342571]
k3311,-5,[-0.17437626],[0.00662247],[-0.07899599],[-26.33100481]
k3311,0,[0.37947498],[0.00479358],[-0.07793333],[79.1631366]
k3311,5,[0.94163852],[0.00588851],[-0.07997045],[159.91120506]
k3311,10,[1.40309684],[0.01220437],[-0.06596873],[114.96672862]
k3311,15,[1.71655808],[0.02367362],[-0.03688927],[72.50932515]
fx61168,-5,[-0.01468089],[0.00745728],[-0.1146683],[-1.96866397]
fx61168,0,[0.61049548],[0.00495066],[-0.1344183],[123.31602409]
fx61168,5,[1.17847786],[0.00720744],[-0.13969671],[163.50859116]
fx61168,10,[1.5898722],[0.01659374],[-0.1198471],[95.81159145]
fx61168,15,[1.74860823],[0.04510389],[-0.08992954],[38.76846108]
kc135c,-5,[-0.38175396],[0.00696174],[-0.02406319],[-54.83596441]
kc135c,0,[0.18071867],[0.00502827],[-0.02646569],[35.94055043]
kc135c,5,[0.70204395],[0.00689333],[-0.02352883],[101.84394178]
kc135c,10,[1.21169222],[0.01239314],[-0.02053729],[97.7711946]
kc135c,15,[1.50514648],[0.02805074],[0.00785037],[53.6579902]
m13,-5,[-0.2810766],[0.00762943],[-0.04709076],[-36.84107709]
m13,0,[0.2891297],[0.00565812],[-0.04955182],[51.09991453]
m13,5,[0.84023912],[0.0065654],[-0.052369],[127.97993729]
m13,10,[1.35995079],[0.01262958],[-0.05087927],[107.67977794]
m13,15,[1.70211019],[0.02838938],[-0.03033497],[59.95588456]
m12,-5,[-0.41327251],[0.00698535],[-0.02389613],[-59.16271847]
m12,0,[0.15772308],[0.00559164],[-0.02634794],[28.20693498]
m12,5,[0.70568758],[0.00597853],[-0.02527179],[118.03696903]
m12,10,[1.25087117],[0.01086338],[-0.02757932],[115.14563199]
m12,15,[1.64785347],[0.01856307],[-0.0068516],[88.77050964]
goe187,-5,[-0.1181949],[0.05355618],[-0.06401612],[-2.20693288]
goe187,0,[0.4768752],[0.00736824],[-0.07984617],[64.72039587]
goe187,5,[1.03488285],[0.00606996],[-0.08274108],[170.49265358]
goe187,10,[1.51606291],[0.0151338],[-0.07526207],[100.17730642]
goe187,15,[1.55730023],[0.05908947],[-0.04520574],[26.35495227]
s2046,-5,[-0.18303117],[0.00572221],[-0.09014291],[-31.98611641]
s2046,0,[0.38176829],[0.00471088],[-0.08993564],[81.03976892]
s2046,5,[0.93170615],[0.00748446],[-0.08806934],[124.48548257]
s2046,10,[1.4536693],[0.01200903],[-0.08217602],[121.04805835]
s2046,15,[1.86652861],[0.02091074],[-0.06255476],[89.26173631]
ssca07,-5,[-0.51958668],[0.00739808],[0.00067339],[-70.23267107]
ssca07,0,[0.05524446],[0.00427856],[-0.00484553],[12.91193105]
ssca07,5,[0.62643039],[0.00617054],[-0.00985552],[101.51960378]
ssca07,10,[1.17328691],[0.01147242],[-0.01253393],[102.27019813]
ssca07,15,[1.62725385],[0.02432145],[-0.00701667],[66.906108]
mue139,-5,[-0.14058646],[0.0073649],[-0.06920796],[-19.08870918]
mue139,0,[0.42492583],[0.00693111],[-0.06218911],[61.3070299]
mue139,5,[1.00639],[0.0064926],[-0.06128373],[155.00565725]
mue139,10,[1.55769345],[0.00920591],[-0.06034622],[169.20588446]
mue139,15,[1.96822807],[0.01428957],[-0.03838403],[137.73876884]
naca23012,-5,[-0.4206226],[0.00702428],[-0.01075163],[-59.88127198]
naca23012,0,[0.14074658],[0.00604303],[-0.01035325],[23.29071736]
naca23012,5,[0.70726885],[0.0059953],[-0.01103571],[117.9704962]
naca23012,10,[1.23334921],[0.01210167],[-0.00900201],[101.91561764]
naca23012,15,[1.60547369],[0.02341873],[0.01182337],[68.55511053]
n63010a,-5,[-0.54899956],[0.00679935],[0.00061013],[-80.74297599]
n63010a,0,[-1.11022302e-16],[0.0038833],[2.22044605e-17],[-2.85896692e-14]
n63010a,5,[0.54899956],[0.00679935],[-0.00061013],[80.74297599]
n63010a,10,[1.08865429],[0.01124772],[-0.00079153],[96.78889812]
n63010a,15,[1.52140327],[0.02202306],[0.01098339],[69.082281]
goe301,-5,[0.17429428],[0.00701151],[-0.14332139],[24.85832701]
goe301,0,[0.7473112],[0.00638003],[-0.14394757],[117.13289825]
goe301,5,[1.29564334],[0.00679861],[-0.14270496],[190.57468919]
goe301,10,[1.79306084],[0.01155053],[-0.13505296],[155.23619431]
goe301,15,[1.9924667],[0.02966652],[-0.09151675],[67.1621266]
goe566,-5,[-0.27786702],[0.00626862],[-0.0544206],[-44.32665943]
goe566,0,[0.27475556],[0.00539039],[-0.0518129],[50.97134417]
goe566,5,[0.84019224],[0.00612983],[-0.05481474],[137.06622801]
goe566,10,[1.32097509],[0.01132332],[-0.04293815],[116.65970133]
goe566,15,[1.71208446],[0.01983069],[-0.02129737],[86.33507364]
fx76mp140,-5,[0.36853518],[0.00599556],[-0.20274813],[61.46804931]
fx76mp140,0,[0.96421036],[0.005339],[-0.21189551],[180.59770842]
fx76mp140,5,[1.51968965],[0.00720945],[-0.21674975],[210.79141814]
fx76mp140,10,[1.84079648],[0.01757035],[-0.18326963],[104.76718803]
fx76mp140,15,[1.96811072],[0.04907464],[-0.1440022],[40.10443612]
s7075,-5,[-0.14709098],[0.00582844],[-0.09293033],[-25.23675301]
s7075,0,[0.40836561],[0.00479615],[-0.0915702],[85.14448069]
s7075,5,[0.94393611],[0.00700469],[-0.08815254],[134.75780593]
s7075,10,[1.44816499],[0.01189645],[-0.08092624],[121.73087121]
s7075,15,[1.77051761],[0.02375408],[-0.04887545],[74.53529515]
bambino6,-5,[-0.31779896],[0.00830813],[-0.04702451],[-38.25157041]
bambino6,0,[0.1717022],[0.00807371],[-0.0278233],[21.2668396]
bambino6,5,[0.58702436],[0.00784061],[-0.00036283],[74.8697617]
bambino6,10,[1.04481162],[0.01583093],[0.00958258],[65.99812378]
bambino6,15,[1.18971171],[0.05498871],[0.02222656],[21.6355627]
s6062,-5,[-0.3842028],[0.00770196],[-0.03468376],[-49.88380023]
s6062,0,[0.1708671],[0.00437841],[-0.03430201],[39.02492933]
s6062,5,[0.72128537],[0.0065943],[-0.03425192],[109.38013489]
s6062,10,[1.23109921],[0.01281358],[-0.02899191],[96.07771496]
s6062,15,[1.53508318],[0.03404267],[-0.005676],[45.09290726]
s1223rtl,-5,[0.68407187],[0.00877165],[-0.27773608],[77.98666446]
s1223rtl,0,[1.26992451],[0.00915674],[-0.27945787],[138.68747477]
s1223rtl,5,[1.79010159],[0.01102937],[-0.27009279],[162.30312277]
s1223rtl,10,[2.25144264],[0.01458296],[-0.25173659],[154.38856016]
s1223rtl,15,[2.45836767],[0.03177656],[-0.19549901],[77.36418833]
goe133,-5,[-0.10294333],[0.00682795],[-0.08713451],[-15.07676536]
goe133,0,[0.46800939],[0.005795],[-0.08792861],[80.76085736]
goe133,5,[1.01264184],[0.00625619],[-0.08605012],[161.86229274]
goe133,10,[1.51987859],[0.01347757],[-0.08101116],[112.77096224]
goe133,15,[1.77477201],[0.03261792],[-0.04817798],[54.41095351]
fx79w660a,-5,[-0.36614585],[0.05628603],[0.03657367],[-6.50509283]
fx79w660a,0,[0.07337532],[0.05321427],[0.01456279],[1.37886536]
fx79w660a,5,[0.48698092],[0.06713504],[-0.01167152],[7.25375194]
fx79w660a,10,[0.80408779],[0.09044276],[-0.02886447],[8.89057117]
fx79w660a,15,[1.19788007],[0.10920762],[-0.06074995],[10.9688326]
mh116,-5,[-0.03166759],[0.00611121],[-0.1190266],[-5.18188794]
mh116,0,[0.53323417],[0.00471133],[-0.1202795],[113.18123328]
mh116,5,[1.05579546],[0.00685719],[-0.11488263],[153.96913933]
mh116,10,[1.52400014],[0.01311216],[-0.10232394],[116.22802841]
mh116,15,[1.8040494],[0.02618073],[-0.06684119],[68.90751628]
naca642215,-5,[-0.40116307],[0.00693919],[-0.03390045],[-57.81126451]
naca642215,0,[0.18483107],[0.00428862],[-0.04199131],[43.09806143]
naca642215,5,[0.74935082],[0.00788487],[-0.04615276],[95.03650839]
naca642215,10,[1.28494703],[0.01204643],[-0.04719781],[106.666231]
naca642215,15,[1.64346691],[0.02235453],[-0.02695678],[73.51830264]
hq300gd2,-5,[-0.02170276],[0.00721368],[-0.10193182],[-3.00855748]
hq300gd2,0,[0.63563902],[0.00454775],[-0.12724187],[139.76994556]
hq300gd2,5,[1.22189335],[0.00659731],[-0.13861488],[185.21088984]
hq300gd2,10,[1.65085763],[0.01569007],[-0.12451153],[105.21674512]
hq300gd2,15,[1.84150777],[0.04225355],[-0.09858105],[43.58231812]
e360,-5,[-0.41895895],[0.007409],[-0.01337884],[-56.54733182]
e360,0,[0.10706694],[0.00406244],[-0.00670883],[26.35533337]
e360,5,[0.64367534],[0.00641613],[-0.00357101],[100.32136988]
e360,10,[1.1680895],[0.00982428],[-0.00077926],[118.89827957]
e360,15,[1.56551607],[0.01781961],[0.01751904],[87.85353349]
mh201,-5,[-0.08619162],[0.00631705],[-0.10620197],[-13.64427364]
mh201,0,[0.47975661],[0.00424614],[-0.11031822],[112.98644602]
mh201,5,[1.00973739],[0.00746761],[-0.10681418],[135.21551617]
mh201,10,[1.477289],[0.01286946],[-0.09341631],[114.79029845]
mh201,15,[1.78022699],[0.02357325],[-0.05993736],[75.5189438]
goe14k,-5,[-0.12830188],[0.00609761],[-0.1005246],[-21.04133641]
goe14k,0,[0.27344813],[0.00462922],[-0.06926611],[59.06997195]
goe14k,5,[0.67252241],[0.00942744],[-0.03700282],[71.33671603]
goe14k,10,[1.16468989],[0.01465459],[-0.03198253],[79.47610589]
goe14k,15,[1.50172759],[0.02323359],[-0.00508503],[64.63605643]
m27,-5,[-0.0866567],[0.0094859],[-0.04453532],[-9.1353134]
m27,0,[0.49501238],[0.00698492],[-0.04829472],[70.86877059]
m27,5,[1.07279202],[0.00707448],[-0.05650018],[151.64247991]
m27,10,[1.62463448],[0.00824208],[-0.06724086],[197.11460514]
m27,15,[1.5843077],[0.05817148],[-0.04271338],[27.23512714]
goe374,-5,[-0.10632356],[0.05112576],[-0.06670233],[-2.07964761]
goe374,0,[0.42503606],[0.0067156],[-0.07073634],[63.29080846]
goe374,5,[0.98011901],[0.00611902],[-0.07149365],[160.17594061]
goe374,10,[1.45763973],[0.0129366],[-0.06094169],[112.6756066]
goe374,15,[1.68827034],[0.03324566],[-0.02925222],[50.78168135]
goe596,-5,[-0.14144184],[0.00650188],[-0.08118583],[-21.75400776]
goe596,0,[0.42139772],[0.00583687],[-0.07986265],[72.19587528]
goe596,5,[0.97714307],[0.00581353],[-0.080138],[168.08090762]
goe596,10,[1.45887526],[0.01178898],[-0.06959368],[123.74903708]
goe596,15,[1.81312472],[0.02158095],[-0.0450126],[84.01505651]
hs1606,-5,[-0.00526457],[0.00623981],[-0.12133411],[-0.84370726]
hs1606,0,[0.57253032],[0.00478078],[-0.12517905],[119.75668901]
hs1606,5,[1.09795596],[0.00842909],[-0.12180883],[130.25791627]
hs1606,10,[1.5956398],[0.01434646],[-0.11436922],[111.22186872]
hs1606,15,[1.85041473],[0.03232175],[-0.07221571],[57.24982703]
goe244,-5,[0.70434887],[0.00772848],[-0.25950703],[91.13683363]
goe244,0,[1.29025687],[0.00871504],[-0.26332032],[148.04938971]
goe244,5,[1.80495555],[0.01101645],[-0.25597202],[163.84184414]
goe244,10,[2.16937723],[0.01976935],[-0.23064243],[109.7343898]
goe244,15,[2.38394808],[0.04370157],[-0.20014298],[54.55063383]
e435,-5,[0.13505029],[0.00658717],[-0.15452793],[20.50202364]
e435,0,[0.72266713],[0.00447789],[-0.16596272],[161.3858005]
e435,5,[1.24965785],[0.0070256],[-0.1637878],[177.87208544]
e435,10,[1.57240792],[0.01582239],[-0.12714914],[99.37866233]
e435,15,[1.78507322],[0.03800504],[-0.09707257],[46.96938078]
mh33,-5,[-0.40113808],[0.00618204],[-0.03285543],[-64.88766292]
mh33,0,[0.13608522],[0.00446922],[-0.02837543],[30.44944027]
mh33,5,[0.67670497],[0.00659702],[-0.02512067],[102.57743976]
mh33,10,[1.18826705],[0.01222734],[-0.01978698],[97.18112478]
mh33,15,[1.55608382],[0.02685787],[0.00132941],[57.93771928]
e207,-5,[-0.29257052],[0.00715375],[-0.05101189],[-40.89752911]
e207,0,[0.25887762],[0.00481649],[-0.04956994],[53.74822824]
e207,5,[0.80890345],[0.00549228],[-0.04757193],[147.28009627]
e207,10,[1.30827318],[0.01157084],[-0.04199289],[113.06641418]
e207,15,[1.63445579],[0.02221862],[-0.01398978],[73.56244457]
goe144,-5,[-0.0442984],[0.00653929],[-0.10823416],[-6.77418783]
goe144,0,[0.50666541],[0.00553046],[-0.10403717],[91.6136412]
goe144,5,[1.04330607],[0.00644049],[-0.09935076],[161.99176005]
goe144,10,[1.51985058],[0.0129745],[-0.0874088],[117.14134972]
goe144,15,[1.83222338],[0.02517207],[-0.05432069],[72.78796336]
sa7036,-5,[-0.22369888],[0.00647986],[-0.06933559],[-34.52215369]
sa7036,0,[0.33578398],[0.00490278],[-0.06931851],[68.48842688]
sa7036,5,[0.88731721],[0.00610067],[-0.06827003],[145.44574742]
sa7036,10,[1.38799083],[0.01245678],[-0.06151761],[111.42456189]
sa7036,15,[1.70006621],[0.02670814],[-0.03243973],[63.65348364]
amsoil1,-5,[-0.35557555],[0.00682523],[-0.04415927],[-52.09723707]
amsoil1,0,[0.23861319],[0.00557877],[-0.05009387],[42.77164953]
amsoil1,5,[0.80878141],[0.00757489],[-0.05449643],[106.77134316]
amsoil1,10,[1.34589841],[0.0111242],[-0.05213393],[120.98833765]
amsoil1,15,[1.77038612],[0.01851516],[-0.03523468],[95.61816967]
naca663218,-5,[-0.33640238],[0.00743795],[-0.04281416],[-45.22785325]
naca663218,0,[0.18660377],[0.00380425],[-0.04345432],[49.05134754]
naca663218,5,[0.62396546],[0.00857838],[-0.02567193],[72.73698991]
naca663218,10,[1.01975685],[0.01477836],[-0.00829818],[69.00339547]
naca663218,15,[1.36044738],[0.02560956],[0.00937431],[53.12263364]
e337,-5,[-0.36476976],[0.00824683],[-0.00384439],[-44.23151276]
e337,0,[0.17248704],[0.00692517],[0.00033979],[24.90727064]
e337,5,[0.69984428],[0.00533743],[0.00624103],[131.12018394]
e337,10,[1.21355566],[0.00889328],[0.00927175],[136.45761286]
e337,15,[1.49866909],[0.02239985],[0.03743457],[66.9053268]
ah88k130,-5,[-0.00566982],[0.00645698],[-0.12208305],[-0.87809279]
ah88k130,0,[0.57209104],[0.00345481],[-0.13161566],[165.59254619]
ah88k130,5,[1.05651567],[0.00801655],[-0.12307846],[131.79184595]
ah88k130,10,[1.40752409],[0.0161422],[-0.09435038],[87.19533397]
ah88k130,15,[1.66967723],[0.03387173],[-0.06790784],[49.29412184]
ah79100a,-5,[-0.07538843],[0.00579814],[-0.11535716],[-13.00216904]
ah79100a,0,[0.49603739],[0.00463045],[-0.11710059],[107.12499957]
ah79100a,5,[1.03795467],[0.00781368],[-0.11516144],[132.83820448]
ah79100a,10,[1.54349146],[0.01309244],[-0.10758778],[117.89179743]
ah79100a,15,[1.89672956],[0.02386216],[-0.08060689],[79.48693365]
naca633418,-5,[-0.23731785],[0.00666645],[-0.06990143],[-35.59884829]
naca633418,0,[0.3697303],[0.00481233],[-0.08114032],[76.82973048]
naca633418,5,[0.95037421],[0.00709834],[-0.0879518],[133.88676849]
naca633418,10,[1.43825577],[0.01391565],[-0.08184766],[103.35524573]
naca633418,15,[1.72530403],[0.03172022],[-0.06391598],[54.39130301]
goe512,-5,[-0.00345073],[0.00739954],[-0.09321834],[-0.4663442]
goe512,0,[0.45794682],[0.00682801],[-0.0706553],[67.06887404]
goe512,5,[0.89123935],[0.00800134],[-0.04381935],[111.38627871]
goe512,10,[1.49265544],[0.01058142],[-0.06135219],[141.06376878]
goe512,15,[1.62543471],[0.03132221],[-0.01582011],[51.89399986]
nacam12,-5,[-0.3959967],[0.00681287],[-0.02419059],[-58.12484069]
nacam12,0,[0.17399477],[0.00610991],[-0.0264256],[28.47748606]
nacam12,5,[0.71730447],[0.00619061],[-0.02410662],[115.86966247]
nacam12,10,[1.26433585],[0.01128743],[-0.02728479],[112.01275407]
nacam12,15,[1.64551305],[0.01904269],[-0.00384178],[86.41179206]
fx79l120,-5,[-0.5710745],[0.0070092],[0.0024602],[-81.47503588]
fx79l120,0,[1.11022302e-16],[0.00444575],[-2.22044605e-17],[2.49726916e-14]
fx79l120,5,[0.5710745],[0.0070092],[-0.0024602],[81.47503588]
fx79l120,10,[1.12198586],[0.01032464],[-0.00255846],[108.6706537]
fx79l120,15,[1.60461936],[0.01799247],[0.00453829],[89.18281699]
sc20706,-5,[-0.08787958],[0.00520603],[-0.10224388],[-16.88034435]
sc20706,0,[0.48612434],[0.00638817],[-0.11025187],[76.09759418]
sc20706,5,[1.03815559],[0.01010329],[-0.10967335],[102.75426117]
sc20706,10,[1.53272379],[0.02219961],[-0.09919914],[69.04283501]
sc20706,15,[1.0532528],[0.24481396],[-0.16499659],[4.30225798]
goe229,-5,[0.22413795],[0.00710128],[-0.1662328],[31.56303801]
goe229,0,[0.82395596],[0.00598539],[-0.17664369],[137.66109798]
goe229,5,[1.35674855],[0.00934393],[-0.17669682],[145.2010717]
goe229,10,[1.64979907],[0.02213714],[-0.14259397],[74.52630664]
goe229,15,[1.79081497],[0.05652803],[-0.12061022],[31.68012214]
goe530,-5,[-0.12210229],[0.00674688],[-0.06871359],[-18.09760673]
goe530,0,[0.43099883],[0.00676131],[-0.06314877],[63.74486578]
goe530,5,[0.93447278],[0.00601402],[-0.04890054],[155.38231113]
goe530,10,[1.45244233],[0.0113355],[-0.04741487],[128.1321815]
goe530,15,[1.72623025],[0.02421005],[-0.01761679],[71.30221362]
goe654,-5,[-0.00762778],[0.00733115],[-0.09848099],[-1.04046102]
goe654,0,[0.54936571],[0.00661851],[-0.09447229],[83.00444243]
goe654,5,[1.12562479],[0.00663527],[-0.09807646],[169.64271638]
goe654,10,[1.60897365],[0.00954408],[-0.08714429],[168.58350068]
goe654,15,[1.76182445],[0.03158125],[-0.04680243],[55.78703587]
n642415,-5,[-0.22678669],[0.00661038],[-0.07367935],[-34.30768087]
n642415,0,[0.36922806],[0.00437966],[-0.08385108],[84.30517836]
n642415,5,[0.92193108],[0.00852484],[-0.08614915],[108.14639999]
n642415,10,[1.43907138],[0.01312837],[-0.08414107],[109.61538425]
n642415,15,[1.7525156],[0.02609752],[-0.05948274],[67.15256294]
fg4,-5,[0.03181868],[0.0071611],[-0.09313879],[4.44326571]
fg4,0,[0.54101294],[0.00704745],[-0.07963488],[76.76713681]
fg4,5,[1.21010762],[0.00842168],[-0.1049612],[143.68959751]
fg4,10,[1.63162297],[0.01212615],[-0.07975917],[134.55403153]
fg4,15,[1.90764355],[0.0199284],[-0.03827074],[95.72486784]
goe319,-5,[-0.03968598],[0.00708446],[-0.08640234],[-5.60183684]
goe319,0,[0.536579],[0.00644418],[-0.08490708],[83.26566966]
goe319,5,[1.10496946],[0.006718],[-0.08711087],[164.4788693]
goe319,10,[1.61474509],[0.01040779],[-0.08022596],[155.14767664]
goe319,15,[2.00904474],[0.01836608],[-0.06306318],[109.38888503]
goe611,-5,[0.09035631],[0.00899005],[-0.11714838],[10.05070409]
goe611,0,[0.66028793],[0.00682599],[-0.12022973],[96.73147946]
goe611,5,[1.21831882],[0.00661332],[-0.12472093],[184.22208207]
goe611,10,[1.65682493],[0.01199258],[-0.10797175],[138.1541592]
goe611,15,[1.79115036],[0.03782793],[-0.06750747],[47.349948]
goe256,-5,[-0.06014488],[0.00687466],[-0.0970415],[-8.74878232]
goe256,0,[0.49832451],[0.00652894],[-0.0969581],[76.32550038]
goe256,5,[1.01469762],[0.00633186],[-0.08913317],[160.25267158]
goe256,10,[1.48047159],[0.01073825],[-0.0778117],[137.86893005]
goe256,15,[1.71084892],[0.02901775],[-0.04587669],[58.95871162]
fx74cl6140,-5,[0.23296767],[0.0074569],[-0.14961053],[31.24189131]
fx74cl6140,0,[0.82803767],[0.00657453],[-0.15442771],[125.94628391]
fx74cl6140,5,[1.41126649],[0.00648451],[-0.16267771],[217.63640662]
fx74cl6140,10,[1.94301771],[0.01010527],[-0.16474976],[192.27761848]
fx74cl6140,15,[1.91064511],[0.06097228],[-0.1302562],[31.3362914]
n0012,-5,[-0.55753871],[0.00644326],[-0.00037516],[-86.53046492]
n0012,0,[-1.11022302e-15],[0.00514197],[1.55431223e-16],[-2.15914121e-13]
n0012,5,[0.55753871],[0.00644326],[0.00037516],[86.53046492]
n0012,10,[1.11672274],[0.01020036],[-0.00051016],[109.47874955]
n0012,15,[1.58173456],[0.01683724],[0.01207424],[93.94263245]
goe382,-5,[0.04569165],[0.00796788],[-0.10087731],[5.73448364]
goe382,0,[0.62193893],[0.00686465],[-0.10460165],[90.60027828]
goe382,5,[1.17092306],[0.00683098],[-0.10631333],[171.41354854]
goe382,10,[1.65790937],[0.0106858],[-0.10054573],[155.15066675]
goe382,15,[1.9431524],[0.02687426],[-0.08178423],[72.30533433]
ah82150a,-5,[-0.09864023],[0.00675428],[-0.09803434],[-14.60410573]
ah82150a,0,[0.47415921],[0.00396035],[-0.10670685],[119.7267112]
ah82150a,5,[1.01404313],[0.00638587],[-0.10828695],[158.79483324]
ah82150a,10,[1.34784241],[0.0155313],[-0.07619857],[86.78230856]
ah82150a,15,[1.59711568],[0.03384414],[-0.05191385],[47.1903182]
as5045,-5,[-0.35173932],[0.00748228],[-0.04191435],[-47.00966465]
as5045,0,[0.25706599],[0.00414765],[-0.05575752],[61.97864473]
as5045,5,[0.8326155],[0.00738],[-0.06155609],[112.82046268]
as5045,10,[1.36619774],[0.01237951],[-0.06176453],[110.3595678]
as5045,15,[1.74895513],[0.02311555],[-0.04511547],[75.66141617]
sc20414,-5,[-0.31312252],[0.00673201],[-0.07383073],[-46.51246528]
sc20414,0,[0.32225446],[0.00604358],[-0.09270634],[53.32176491]
sc20414,5,[0.909057],[0.00887825],[-0.09642614],[102.39151212]
sc20414,10,[1.46745837],[0.01259056],[-0.09478755],[116.55229396]
sc20414,15,[1.93533904],[0.01895633],[-0.07906919],[102.09458235]
arad6,-5,[0.03720668],[0.00657415],[-0.13232743],[5.65954289]
arad6,0,[0.61638799],[0.00590601],[-0.13577824],[104.36625261]
