Airfoil,Alpha,CL,CD,CM,CL/CD
m11,0,[0.11910644],[0.00536895],[-0.0136467],[22.18430812]
m11,5,[0.7103482],[0.00653509],[-0.02311741],[108.69750712]
m11,10,[1.24388813],[0.01123679],[-0.0228171],[110.69777805]
m11,15,[1.58488371],[0.02037826],[0.00823226],[77.77325888]
e361,-5,[-0.44230135],[0.00751328],[-0.00603621],[-58.8693023]
e361,0,[0.08817662],[0.0041556],[5.21933023e-06],[21.21875547]
e361,5,[0.62282851],[0.00620559],[0.00390227],[100.36565524]
e361,10,[1.17802742],[0.00983737],[-0.00019475],[119.7502241]
e361,15,[1.55346581],[0.01831377],[0.02107462],[84.82500608]
n13,-5,[-0.48169914],[0.00597801],[-0.01671693],[-80.57846529]
n13,0,[0.01968632],[0.00458104],[-0.00555621],[4.29734612]
n13,5,[0.52330667],[0.00643442],[0.00538433],[81.32928948]
n13,10,[1.05678149],[0.01045938],[0.00838411],[101.03674995]
n13,15,[1.48704566],[0.01754816],[0.0254949],[84.74081787]
ag36,-5,[-0.16247528],[0.00603431],[-0.0456247],[-26.92525111]
ag36,0,[0.40010064],[0.00452482],[-0.04639369],[88.42356588]
ag36,5,[0.94406732],[0.00766957],[-0.04450174],[123.09259432]
ag36,10,[1.45960521],[0.01384414],[-0.04020631],[105.43127016]
ag36,15,[1.78464401],[0.02863985],[-0.01527551],[62.31330931]
dae51,-5,[-0.10217818],[0.00629959],[-0.09879507],[-16.21982531]
dae51,0,[0.48193709],[0.00494031],[-0.1032615],[97.55206227]
dae51,5,[1.02716914],[0.00667254],[-0.10338034],[153.93973856]
dae51,10,[1.53983871],[0.01302389],[-0.09976614],[118.23185493]
dae51,15,[1.86760509],[0.02530393],[-0.07273089],[73.80692656]
ah94145,-5,[0.07761778],[0.00664177],[-0.12784439],[11.68631683]
ah94145,0,[0.68641329],[0.00524179],[-0.1397097],[130.95020309]
ah94145,5,[1.27668364],[0.00549081],[-0.15129126],[232.51283464]
ah94145,10,[1.65489407],[0.01690129],[-0.1299276],[97.91525294]
ah94145,15,[1.84439051],[0.04558572],[-0.10739359],[40.45982875]
m20,-5,[-0.20970943],[0.00878576],[-0.04408408],[-23.86925336]
m20,0,[0.36098213],[0.00626996],[-0.04681505],[57.57324937]
m20,5,[0.92665083],[0.00495331],[-0.05092784],[187.07702393]
m20,10,[1.45613618],[0.01280495],[-0.05643568],[113.71666974]
m20,15,[1.71309375],[0.03386228],[-0.04009953],[50.59002839]
goe342,-5,[0.09004099],[0.0091319],[-0.13979624],[9.86004782]
goe342,0,[0.68256652],[0.00628844],[-0.14550764],[108.54304192]
goe342,5,[1.23762403],[0.00792696],[-0.14682692],[156.12845937]
goe342,10,[1.74625865],[0.0131837],[-0.14207877],[132.45586394]
goe342,15,[2.04705788],[0.026684],[-0.10837813],[76.71480423]
fx73170a,-5,[0.07256377],[0.00698815],[-0.12436364],[10.3838318]
fx73170a,0,[0.66657904],[0.004359],[-0.13848842],[152.92018629]
fx73170a,5,[1.25673542],[0.00495963],[-0.15325951],[253.39293528]
fx73170a,10,[1.49221347],[0.02470812],[-0.11897896],[60.39363445]
fx73170a,15,[1.67403232],[0.05324529],[-0.09714473],[31.44000929]
mh18,-5,[-0.40793399],[0.00742509],[-0.01343658],[-54.93993559]
mh18,0,[0.15078856],[0.00483215],[-0.01378952],[31.20529066]
mh18,5,[0.75034385],[0.00559237],[-0.02597819],[134.1728169]
mh18,10,[1.29305465],[0.01220995],[-0.03366705],[105.90172541]
mh18,15,[1.54187834],[0.02597971],[-0.00161226],[59.3493339]
clarkk,-5,[-0.20015276],[0.00667574],[-0.07896571],[-29.98209936]
clarkk,0,[0.37524832],[0.00578913],[-0.08111088],[64.8194174]
clarkk,5,[0.92339406],[0.00636173],[-0.07974047],[145.14821359]
clarkk,10,[1.40664874],[0.01311736],[-0.0691436],[107.23567792]
clarkk,15,[1.70505345],[0.02735892],[-0.03976392],[62.32167039]
s8021,-5,[-0.55269477],[0.00626298],[-0.00118285],[-88.24785359]
s8021,0,[-4.4408921e-16],[0.00470378],[2.66453526e-16],[-9.44110498e-14]
s8021,5,[0.55269477],[0.00626298],[0.00118285],[88.24785359]
s8021,10,[1.09070859],[0.01143437],[0.00355774],[95.38860248]
s8021,15,[1.53954704],[0.02467823],[0.01119426],[62.38481736]
goe06k,-5,[-0.06440694],[0.00632924],[-0.11553417],[-10.17609907]
goe06k,0,[0.42112399],[0.00332562],[-0.10435344],[126.63018589]
goe06k,5,[0.92994249],[0.00836627],[-0.09800058],[111.15382197]
goe06k,10,[1.28857813],[0.01736559],[-0.06164111],[74.20294302]
goe06k,15,[0.98795434],[0.13855681],[-0.03463615],[7.13031978]
naca0024,-5,[-0.55506535],[0.00756973],[-0.00221561],[-73.32697461]
naca0024,0,[-5.27355937e-16],[0.00680488],[6.66133815e-17],[-7.74966805e-14]
naca0024,5,[0.55506535],[0.00756973],[0.00221561],[73.32697461]
naca0024,10,[1.03603467],[0.01030218],[0.01578886],[100.56456431]
naca0024,15,[1.4292618],[0.01902661],[0.03250365],[75.11909013]
30p-30n,-5,[4606819.16793769],[inf],[-inf],[0.]
30p-30n,0,[4606819.68985193],[inf],[-inf],[0.]
30p-30n,5,[4606820.21539925],[inf],[-inf],[0.]
30p-30n,10,[4606820.72861624],[inf],[-inf],[0.]
30p-30n,15,[4606821.21384688],[inf],[-inf],[0.]
dsma523a,-5,[-0.16946557],[0.00611909],[-0.11752232],[-27.69456161]
dsma523a,0,[0.41030875],[0.00611369],[-0.12349433],[67.11307802]
dsma523a,5,[0.98649063],[0.00874665],[-0.12325959],[112.78495973]
dsma523a,10,[1.52835509],[0.01259244],[-0.11671862],[121.37079717]
dsma523a,15,[1.99180202],[0.01933579],[-0.09781206],[103.01114011]
raf28,-5,[-0.31806909],[0.00638957],[-0.05164258],[-49.77941216]
raf28,0,[0.21363338],[0.00466683],[-0.04567536],[45.77702146]
raf28,5,[0.75577682],[0.00672315],[-0.04367056],[112.41404927]
raf28,10,[1.2633429],[0.01161402],[-0.03729513],[108.77738706]
raf28,15,[1.58666818],[0.02117745],[-0.00300017],[74.92251565]
hq1585,-5,[-0.3535981],[0.00634381],[-0.04552158],[-55.73906842]
hq1585,0,[0.20502349],[0.00397381],[-0.0459061],[51.59363877]
hq1585,5,[0.749681],[0.00701285],[-0.04423272],[106.90102222]
hq1585,10,[1.26847649],[0.01174832],[-0.03949601],[107.97085806]
hq1585,15,[1.68191018],[0.02228176],[-0.02335903],[75.48371807]
goe54,-5,[-0.32516712],[0.00997211],[-0.02571043],[-32.60765966]
goe54,0,[0.25537242],[0.00693135],[-0.02451361],[36.84309844]
goe54,5,[0.82129337],[0.00608609],[-0.02235032],[134.94603217]
goe54,10,[1.38461638],[0.00945478],[-0.02458913],[146.44612621]
goe54,15,[1.88610213],[0.01835232],[-0.02156882],[102.77188812]
naca000834,-5,[-0.52804152],[0.00729141],[-0.0023634],[-72.41968979]
naca000834,0,[-1.11022302e-16],[0.00310642],[2.22044605e-17],[-3.57396847e-14]
naca000834,5,[0.52804152],[0.00729141],[0.0023634],[72.41968979]
naca000834,10,[0.68941061],[0.09840136],[-0.00422584],[7.0061085]
naca000834,15,[0.72118354],[0.18511955],[-0.04178781],[3.89577194]
mh122,-5,[-0.0004845],[0.00571017],[-0.13928564],[-0.08484802]
mh122,0,[0.55461098],[0.00354365],[-0.14157208],[156.50853019]
mh122,5,[1.0329409],[0.00887646],[-0.12762188],[116.36857502]
mh122,10,[1.49490471],[0.01405286],[-0.11257404],[106.37725282]
mh122,15,[1.77383397],[0.02802456],[-0.07243659],[63.2956988]
goe531,-5,[0.76658264],[0.00786423],[-0.29390872],[97.47715455]
goe531,0,[1.28324226],[0.00762461],[-0.28675133],[168.30275868]
goe531,5,[1.77095848],[0.00996126],[-0.28353547],[177.78465093]
goe531,10,[2.13157785],[0.017169],[-0.26578366],[124.15268468]
goe531,15,[1.81707921],[0.08056796],[-0.17375813],[22.55337194]
goe57,-5,[0.01259539],[0.00630628],[-0.11833253],[1.99727731]
goe57,0,[0.5659736],[0.00602332],[-0.11549327],[93.9636613]
goe57,5,[1.09738701],[0.00648703],[-0.1107649],[169.16637993]
goe57,10,[1.59386243],[0.01385674],[-0.10263948],[115.02437734]
goe57,15,[1.85139699],[0.03072353],[-0.06428939],[60.25989687]
nacam3,-5,[-0.55801485],[0.00664039],[0.00111757],[-84.03350425]
nacam3,0,[-5.55111512e-16],[0.0048689],[1.33226763e-16],[-1.14011719e-13]
nacam3,5,[0.55801485],[0.00664039],[-0.00111757],[84.03350425]
nacam3,10,[1.10763116],[0.01033915],[-0.0006636],[107.12980301]
nacam3,15,[1.57180222],[0.01703438],[0.01113533],[92.27236492]
ah93w480b,-5,[-0.17428795],[0.0367078],[-0.04741386],[-4.74798125]
ah93w480b,0,[0.54154785],[0.03953914],[-0.1130141],[13.69650189]
ah93w480b,5,[1.22717176],[0.0453369],[-0.17275794],[27.06783794]
ah93w480b,10,[1.72799805],[0.05081442],[-0.19733488],[34.00605898]
ah93w480b,15,[2.21521876],[0.07279483],[-0.22375479],[30.43098831]
goe286,-5,[-0.1958175],[0.00719751],[-0.06239716],[-27.20630255]
goe286,0,[0.39008354],[0.00643895],[-0.06540085],[60.58183123]
goe286,5,[0.95523184],[0.00587123],[-0.06758221],[162.69716214]
goe286,10,[1.49174037],[0.01134674],[-0.06821102],[131.46868415]
goe286,15,[1.88676442],[0.02141831],[-0.05012616],[88.09120552]
s9000,-5,[-0.21189761],[0.00594565],[-0.0756068],[-35.63907178]
s9000,0,[0.33879492],[0.00486851],[-0.073612],[69.58906682]
s9000,5,[0.88557037],[0.00650011],[-0.0709264],[136.23926246]
s9000,10,[1.39421088],[0.01219823],[-0.06420579],[114.29620766]
s9000,15,[1.76757569],[0.02265459],[-0.03977559],[78.02285818]
fx72150b,-5,[0.61488454],[0.00689982],[-0.25262935],[89.1160614]
fx72150b,0,[1.20518281],[0.00645888],[-0.26237791],[186.59318033]
fx72150b,5,[1.77308171],[0.00688133],[-0.27459939],[257.6654452]
fx72150b,10,[2.02640589],[0.02162132],[-0.23699958],[93.72260129]
fx72150b,15,[1.90152931],[0.08398047],[-0.1898418],[22.64251704]
goe592,-5,[0.25718862],[0.00644482],[-0.16156276],[39.90623975]
goe592,0,[0.82369066],[0.00605785],[-0.16183952],[135.97069788]
goe592,5,[1.34187016],[0.00660103],[-0.15504745],[203.28198568]
goe592,10,[1.62990807],[0.01752213],[-0.11637137],[93.01999836]
goe592,15,[1.76851175],[0.04727402],[-0.08576718],[37.40980215]
raf38,-5,[-0.29633893],[0.00679439],[-0.0497849],[-43.61524413]
raf38,0,[0.24204999],[0.00495393],[-0.04440954],[48.86018974]
raf38,5,[0.78843228],[0.00578312],[-0.04216173],[136.33337518]
raf38,10,[1.32214215],[0.01124535],[-0.04360663],[117.57234569]
raf38,15,[1.60874417],[0.02117933],[-0.00718516],[75.9582111]
goe613,-5,[-0.06729973],[0.00634257],[-0.09692628],[-10.61079857]
goe613,0,[0.45941489],[0.00644031],[-0.08918594],[71.33428264]
goe613,5,[1.02960001],[0.00640217],[-0.09301119],[160.82042395]
goe613,10,[1.4310189],[0.01264117],[-0.06597158],[113.20303027]
goe613,15,[1.7323536],[0.02424291],[-0.03517029],[71.45814174]
